E	N	Z
2622205.79263158	1256906.97157895	345.973333541382
2622206.03684211	1256906.96210526	345.970704348599
2622206.28105263	1256906.95263158	345.968120839328
2622206.52526316	1256906.94315789	345.965583145392
2622206.76947368	1256906.93368421	345.963091398616
2622207.01368421	1256906.92421053	345.960645730823
2622207.25789474	1256906.91473684	345.958246273839
2622207.50210526	1256906.90526316	345.955893159486
2622207.74631579	1256906.89578947	345.953586519589
2622207.99052632	1256906.88631579	345.951326485972
2622208.23473684	1256906.87684211	345.949113190459
2622208.47894737	1256906.86736842	345.946946764874
2622208.72315789	1256906.85789474	345.944827341042
2622208.96736842	1256906.84842105	345.942755050785
2622209.21157895	1256906.83894737	345.940730025929
2622209.45578947	1256906.82947368	345.938752398296
2622209.7	1256906.82	345.936822299713
2622209.94421053	1256906.81052632	345.934939862001
2622210.18842105	1256906.80105263	345.933105216986
2622210.43263158	1256906.79157895	345.931318496491
2622210.67684211	1256906.78210526	345.929579832341
2622210.92105263	1256906.77263158	345.92788935636
2622211.16526316	1256906.76315789	345.926247200371
2622211.40947368	1256906.75368421	345.924653496199
2622211.65368421	1256906.74421053	345.923108375668
2622211.89789474	1256906.73473684	345.921611970601
2622212.14210526	1256906.72526316	345.920164412824
2622212.38631579	1256906.71578947	345.918765834159
2622212.63052632	1256906.70631579	345.917416366432
2622212.87473684	1256906.69684211	345.916116141465
2622213.11894737	1256906.68736842	345.914865291083
2622213.36315789	1256906.67789474	345.913663947111
2622213.60736842	1256906.66842105	345.912512241372
2622213.85157895	1256906.65894737	345.91141030569
2622214.09578947	1256906.64947368	345.910358271889
2622214.34	1256906.64	345.909356271794
2622214.58421053	1256906.63052632	345.908404437228
2622214.82842105	1256906.62105263	345.907502900016
2622215.07263158	1256906.61157895	345.906651791981
2622215.31684211	1256906.60210526	345.905851244948
2622215.56105263	1256906.59263158	345.905101390741
2622215.80526316	1256906.58315789	345.904402361183
2622216.04947368	1256906.57368421	345.903754288099
2622216.29368421	1256906.56421053	345.903157303313
2622216.53789474	1256906.55473684	345.902611538648
2622216.78210526	1256906.54526316	345.90211712593
2622217.02631579	1256906.53578947	345.901674196981
2622217.27052632	1256906.52631579	345.901282883627
2622217.51473684	1256906.51684211	345.900943317691
2622217.75894737	1256906.50736842	345.900655630997
2622218.00315789	1256906.49789474	345.900419955369
2622218.24736842	1256906.48842105	345.900236422631
2622218.49157895	1256906.47894737	345.900105164608
2622218.73578947	1256906.46947368	345.900026313123
2622218.98	1256906.46	345.9
2622219.314375	1256906.419375	345.9
2622219.64875	1256906.37875	345.9
2622219.983125	1256906.338125	345.9
2622220.3175	1256906.2975	345.9
2622220.651875	1256906.256875	345.9
2622220.98625	1256906.21625	345.9
2622221.320625	1256906.175625	345.9
2622221.655	1256906.135	345.9
2622221.989375	1256906.094375	345.9
2622222.32375	1256906.05375	345.9
2622222.658125	1256906.013125	345.9
2622222.9925	1256905.9725	345.9
2622223.326875	1256905.931875	345.9
2622223.66125	1256905.89125	345.9
2622223.995625	1256905.850625	345.9
2622224.33	1256905.81	345.9
2622224.664375	1256905.769375	345.9
2622224.99875	1256905.72875	345.9
2622225.333125	1256905.688125	345.9
2622225.6675	1256905.6475	345.9
2622226.001875	1256905.606875	345.9
2622226.33625	1256905.56625	345.9
2622226.670625	1256905.525625	345.9
2622227.005	1256905.485	345.9
2622227.339375	1256905.444375	345.9
2622227.67375	1256905.40375	345.9
2622228.008125	1256905.363125	345.9
2622228.3425	1256905.3225	345.9
2622228.676875	1256905.281875	345.9
2622229.01125	1256905.24125	345.9
2622229.345625	1256905.200625	345.9
2622229.68	1256905.16	345.9
