E	N	Z
2622229.21138686	1256893.22277372	346.057664233577
2622229.19715328	1256892.99430657	346.060583941606
2622229.18291971	1256892.76583942	346.063503649635
2622229.16868613	1256892.53737226	346.066423357664
2622229.15445255	1256892.30890511	346.069343065693
2622229.14021898	1256892.08043796	346.072262773723
2622229.1259854	1256891.8519708	346.075182481752
2622229.11175182	1256891.62350365	346.078102189781
2622229.09751825	1256891.3950365	346.08102189781
2622229.08328467	1256891.16656934	346.083941605839
2622229.06905109	1256890.93810219	346.086861313869
2622229.05481752	1256890.70963504	346.089781021898
2622229.04058394	1256890.48116788	346.092700729927
2622229.02635037	1256890.25270073	346.095620437956
2622229.01211679	1256890.02423358	346.098540145985
2622228.99788321	1256889.79576642	346.101459854015
2622228.98364964	1256889.56729927	346.104379562044
2622228.96941606	1256889.33883212	346.107299270073
2622228.95518248	1256889.11036496	346.110218978102
2622228.9409489	1256888.88189781	346.113138686131
2622228.92671533	1256888.65343066	346.116058394161
2622228.91248175	1256888.4249635	346.11897810219
2622228.89824818	1256888.19649635	346.121897810219
2622228.8840146	1256887.9680292	346.124817518248
2622228.86978102	1256887.73956204	346.127737226277
2622228.85554745	1256887.51109489	346.130656934307
2622228.84131387	1256887.28262774	346.133576642336
2622228.82708029	1256887.05416058	346.136496350365
2622228.81284672	1256886.82569343	346.139416058394
2622228.79861314	1256886.59722628	346.142335766423
2622228.78437956	1256886.36875912	346.145255474453
2622228.77014599	1256886.14029197	346.148175182482
2622228.75591241	1256885.91182482	346.151094890511
2622228.74167883	1256885.68335766	346.15401459854
2622228.72744526	1256885.45489051	346.156934306569
2622228.71321168	1256885.22642336	346.159854014599
2622228.6989781	1256884.9979562	346.162773722628
2622228.68474453	1256884.76948905	346.165693430657
2622228.67051095	1256884.5410219	346.168613138686
2622228.65627737	1256884.31255474	346.171532846715
2622228.6420438	1256884.08408759	346.174452554745
2622228.62781022	1256883.85562044	346.177372262774
2622228.61357664	1256883.62715328	346.180291970803
2622228.59934307	1256883.39868613	346.183211678832
2622228.58510949	1256883.17021898	346.186131386861
2622228.57087591	1256882.94175182	346.18905109489
2622228.55664234	1256882.71328467	346.19197080292
2622228.54240876	1256882.48481752	346.194890510949
2622228.52817518	1256882.25635037	346.197810218978
2622228.51394161	1256882.02788321	346.200729927007
2622228.49970803	1256881.79941606	346.203649635036
2622228.48547445	1256881.57094891	346.206569343066
2622228.47124088	1256881.34248175	346.209489051095
2622228.4570073	1256881.1140146	346.212408759124
2622228.44277372	1256880.88554745	346.215328467153
2622228.42854015	1256880.65708029	346.218248175182
2622228.41430657	1256880.42861314	346.221167883212
2622228.40007299	1256880.20014599	346.224087591241
2622228.38583942	1256879.97167883	346.22700729927
2622228.37160584	1256879.74321168	346.229927007299
2622228.35737226	1256879.51474453	346.232846715328
2622228.34313869	1256879.28627737	346.235766423358
2622228.32890511	1256879.05781022	346.238686131387
2622228.31467153	1256878.82934307	346.241605839416
2622228.30043796	1256878.60087591	346.244525547445
2622228.28620438	1256878.37240876	346.247445255474
2622228.2719708	1256878.14394161	346.250364963504
2622228.25773723	1256877.91547445	346.253284671533
2622228.24350365	1256877.6870073	346.256204379562
2622228.22927007	1256877.45854015	346.259124087591
2622228.2150365	1256877.23007299	346.26204379562
2622228.20080292	1256877.00160584	346.26496350365
2622228.18656934	1256876.77313869	346.267883211679
2622228.17233577	1256876.54467153	346.270802919708
2622228.15810219	1256876.31620438	346.273722627737
2622228.14386861	1256876.08773723	346.276642335766
2622228.12963504	1256875.85927007	346.279562043796
2622228.11540146	1256875.63080292	346.282481751825
2622228.10116788	1256875.40233577	346.285401459854
2622228.08693431	1256875.17386861	346.288321167883
2622228.07270073	1256874.94540146	346.291240875912
2622228.05846715	1256874.71693431	346.294160583942
2622228.04423358	1256874.48846715	346.297080291971
2622228.03	1256874.26	346.3
2622228.01576642	1256874.03153285	346.302919708029
2622228.00153285	1256873.80306569	346.305839416058
2622227.98729927	1256873.57459854	346.308759124088
2622227.97306569	1256873.34613139	346.311678832117
2622227.95883212	1256873.11766423	346.314598540146
2622227.94459854	1256872.88919708	346.317518248175
2622227.93036496	1256872.66072993	346.320437956204
2622227.91613139	1256872.43226277	346.323357664234
2622227.90189781	1256872.20379562	346.326277372263
2622227.88766423	1256871.97532847	346.329197080292
2622227.87343066	1256871.74686131	346.332116788321
2622227.85919708	1256871.51839416	346.33503649635
2622227.8449635	1256871.28992701	346.33795620438
2622227.83072993	1256871.06145985	346.340875912409
2622227.81649635	1256870.8329927	346.343795620438
2622227.80226277	1256870.60452555	346.346715328467
2622227.7880292	1256870.37605839	346.349635036496
2622227.77379562	1256870.14759124	346.352554744526
2622227.75956204	1256869.91912409	346.355474452555
2622227.74532847	1256869.69065693	346.358394160584
2622227.73109489	1256869.46218978	346.361313868613
2622227.71686131	1256869.23372263	346.364233576642
2622227.70262774	1256869.00525547	346.367153284672
2622227.68839416	1256868.77678832	346.370072992701
2622227.67416058	1256868.54832117	346.37299270073
2622227.65992701	1256868.31985401	346.375912408759
2622227.64569343	1256868.09138686	346.378832116788
2622227.63145985	1256867.86291971	346.381751824818
2622227.61722628	1256867.63445255	346.384671532847
2622227.6029927	1256867.4059854	346.387591240876
2622227.58875912	1256867.17751825	346.390510948905
2622227.57452555	1256866.94905109	346.393430656934
2622227.56029197	1256866.72058394	346.396350364963
2622227.54605839	1256866.49211679	346.399270072993
2622227.53182482	1256866.26364964	346.402189781022
2622227.51759124	1256866.03518248	346.405109489051
2622227.50335766	1256865.80671533	346.40802919708
2622227.48912409	1256865.57824818	346.410948905109
2622227.47489051	1256865.34978102	346.413868613139
2622227.46065693	1256865.12131387	346.416788321168
2622227.44642336	1256864.89284672	346.419708029197
2622227.43218978	1256864.66437956	346.422627737226
2622227.4179562	1256864.43591241	346.425547445255
2622227.40372263	1256864.20744526	346.428467153285
2622227.38948905	1256863.9789781	346.431386861314
2622227.37525547	1256863.75051095	346.434306569343
2622227.3610219	1256863.5220438	346.437226277372
2622227.34678832	1256863.29357664	346.440145985401
2622227.33255474	1256863.06510949	346.443065693431
2622227.31832117	1256862.83664234	346.44598540146
2622227.30408759	1256862.60817518	346.448905109489
2622227.28985401	1256862.37970803	346.451824817518
2622227.27562044	1256862.15124088	346.454744525547
2622227.26138686	1256861.92277372	346.457664233577
2622227.24715328	1256861.69430657	346.460583941606
2622227.23291971	1256861.46583942	346.463503649635
2622227.21868613	1256861.23737226	346.466423357664
2622227.20445255	1256861.00890511	346.469343065693
2622227.19021898	1256860.78043796	346.472262773723
2622227.1759854	1256860.5519708	346.475182481752
2622227.16175182	1256860.32350365	346.478102189781
2622227.14751825	1256860.0950365	346.48102189781
2622227.13328467	1256859.86656934	346.483941605839
2622227.1190511	1256859.63810219	346.486861313869
2622227.10481752	1256859.40963504	346.489781021898
2622227.09058394	1256859.18116788	346.492700729927
2622227.07635036	1256858.95270073	346.495620437956
2622227.06211679	1256858.72423358	346.498540145985
2622227.04788321	1256858.49576642	346.501459854015
2622227.03364964	1256858.26729927	346.504379562044
2622227.01941606	1256858.03883212	346.507299270073
2622227.00518248	1256857.81036496	346.510218978102
2622226.99094891	1256857.58189781	346.513138686131
2622226.97671533	1256857.35343066	346.516058394161
2622226.96248175	1256857.1249635	346.51897810219
2622226.94824818	1256856.89649635	346.521897810219
2622226.9340146	1256856.6680292	346.524817518248
2622226.91978102	1256856.43956204	346.527737226277
2622226.90554745	1256856.21109489	346.530656934307
2622226.89131387	1256855.98262774	346.533576642336
2622226.87708029	1256855.75416058	346.536496350365
2622226.86284672	1256855.52569343	346.539416058394
2622226.84861314	1256855.29722628	346.542335766423
2622226.83437956	1256855.06875912	346.545255474453
2622226.82014599	1256854.84029197	346.548175182482
2622226.80591241	1256854.61182482	346.551094890511
2622226.79167883	1256854.38335766	346.55401459854
2622226.77744526	1256854.15489051	346.556934306569
2622226.76321168	1256853.92642336	346.559854014598
2622226.7489781	1256853.6979562	346.562773722628
2622226.73474453	1256853.46948905	346.565693430657
2622226.72051095	1256853.2410219	346.568613138686
2622226.70627737	1256853.01255474	346.571532846715
2622226.6920438	1256852.78408759	346.574452554745
2622226.67781022	1256852.55562044	346.577372262774
2622226.66357664	1256852.32715328	346.580291970803
2622226.64934307	1256852.09868613	346.583211678832
2622226.63510949	1256851.87021898	346.586131386861
2622226.62087591	1256851.64175182	346.589051094891
2622226.60664234	1256851.41328467	346.59197080292
2622226.59240876	1256851.18481752	346.594890510949
2622226.57817518	1256850.95635036	346.597810218978
2622226.56394161	1256850.72788321	346.600729927007
2622226.54970803	1256850.49941606	346.603649635037
2622226.53547445	1256850.27094891	346.606569343066
2622226.52124088	1256850.04248175	346.609489051095
2622226.5070073	1256849.8140146	346.612408759124
2622226.49277372	1256849.58554745	346.615328467153
2622226.47854015	1256849.35708029	346.618248175182
2622226.46430657	1256849.12861314	346.621167883212
2622226.45007299	1256848.90014599	346.624087591241
2622226.43583942	1256848.67167883	346.62700729927
2622226.42160584	1256848.44321168	346.629927007299
2622226.40737226	1256848.21474453	346.632846715328
2622226.39313869	1256847.98627737	346.635766423358
2622226.37890511	1256847.75781022	346.638686131387
2622226.36467153	1256847.52934307	346.641605839416
2622226.35043796	1256847.30087591	346.644525547445
2622226.33620438	1256847.07240876	346.647445255474
2622226.3219708	1256846.84394161	346.650364963504
2622226.30773723	1256846.61547445	346.653284671533
2622226.29350365	1256846.3870073	346.656204379562
2622226.27927007	1256846.15854015	346.659124087591
2622226.2650365	1256845.93007299	346.66204379562
2622226.25080292	1256845.70160584	346.66496350365
2622226.23656934	1256845.47313869	346.667883211679
2622226.22233577	1256845.24467153	346.670802919708
2622226.20810219	1256845.01620438	346.673722627737
2622226.19386861	1256844.78773723	346.676642335766
2622226.17963504	1256844.55927007	346.679562043796
2622226.16540146	1256844.33080292	346.682481751825
2622226.15116788	1256844.10233577	346.685401459854
2622226.13693431	1256843.87386861	346.688321167883
2622226.12270073	1256843.64540146	346.691240875912
2622226.10846715	1256843.41693431	346.694160583942
2622226.09423358	1256843.18846715	346.697080291971
2622226.08	1256842.96	346.7
